Average of Female,Average of Male,Discipline
969.00,1072.00,Athletics
361.00,418.00,Swimming
264.00,344.00,Football
257.00,265.00,Rowing
192.00,192.00,Hockey
192.00,201.00,Judo
178.00,178.00,Shooting
175.00,175.00,Sailing
168.00,168.00,Handball
146.00,151.00,Rugby Sevens
144.00,144.00,Basketball
144.00,144.00,Volleyball
123.00,126.00,Canoe Sprint
122.00,146.00,Water Polo
107.00,108.00,Fencing
105.00,0.00,Artistic Swimming
102.00,187.00,Boxing
98.00,98.00,Artistic Gymnastics
98.00,99.00,Weightlifting
96.00,0.00,Rhythmic Gymnastics
96.00,193.00,Wrestling
94.00,97.00,Tennis
90.00,144.00,Baseball/Softball
90.00,99.00,Cycling Track
86.00,87.00,Badminton
86.00,86.00,Table Tennis
73.00,125.00,Equestrian
72.00,71.00,Diving
70.00,131.00,Cycling Road
65.00,65.00,Taekwondo
64.00,64.00,Archery
60.00,60.00,Golf
55.00,55.00,Triathlon
48.00,48.00,Beach Volleyball
41.00,41.00,Canoe Slalom
40.00,42.00,Karate
40.00,40.00,Skateboarding
38.00,38.00,Cycling Mountain Bike
36.00,36.00,Modern Pentathlon
32.00,32.00,3x3 Basketball
25.00,25.00,Marathon Swimming
24.00,24.00,Cycling BMX Racing
20.00,20.00,Sport Climbing
20.00,20.00,Surfing
16.00,16.00,Trampoline Gymnastics
10.00,9.00,Cycling BMX Freestyle
